datum_eerste_toelating,benzine_count,elektriciteit_count,diesel_count,waterstof_count,alcohol_count,lpg_count,cng_count,lng_count
1951-01,54,0,0,0,0,1,0,0
1951-02,280,0,2,0,0,17,0,0
1951-03,31,0,1,0,0,0,0,0
1951-04,33,0,0,0,0,0,0,0
1951-05,41,0,0,0,0,0,0,0
1951-06,1381,1,1014,1,1,23,0,0
1951-07,71,0,4,0,0,0,0,0
1951-08,28,0,0,0,0,1,0,0
1951-09,50,0,6,0,0,0,0,0
1951-10,30,0,2,0,0,0,0,0
1951-11,24,0,1,0,0,0,0,0
1951-12,29,0,1,0,0,1,0,0
1952-01,62,0,2,0,0,1,0,0
1952-02,309,0,7,0,0,18,0,0
1952-03,52,0,2,0,0,0,0,0
1952-04,48,0,0,0,0,1,0,0
1952-05,62,0,1,0,0,0,0,0
1952-06,1539,0,1374,1,4,25,0,0
1952-07,94,0,5,0,0,0,0,0
1952-08,36,0,26,0,0,0,0,0
1952-09,97,0,7,0,0,3,0,0
1952-10,37,0,178,0,0,0,0,0
1952-11,27,0,2,0,0,0,0,0
1952-12,47,0,1,0,0,0,0,0
1953-01,86,0,1,0,0,1,0,0
1953-02,367,0,3,0,0,14,0,0
1953-03,82,0,2,0,0,0,0,0
1953-04,112,0,2,0,0,0,0,0
1953-05,105,0,5,0,0,0,0,0
1953-06,1637,2,1537,0,1,30,0,0
1953-07,158,0,2,0,0,2,0,0
1953-08,79,0,2,0,0,1,0,0
1953-09,101,0,3,0,0,5,0,0
1953-10,66,0,1,0,0,1,0,0
1953-11,53,0,2,0,0,0,0,0
1953-12,43,0,2,0,0,0,0,0
1954-01,94,0,3,0,0,1,0,0
1954-02,420,0,4,0,0,28,0,0
1954-03,131,0,2,0,0,1,0,0
1954-04,182,0,1,0,0,2,0,0
1954-05,164,0,0,0,0,0,0,0
1954-06,1822,3,2337,0,2,54,1,1
1954-07,181,0,7,0,0,1,0,0
1954-08,85,0,3,0,0,0,0,0
1954-09,126,0,0,0,0,1,0,0
1954-10,90,0,2,0,0,0,0,0
1954-11,73,0,0,0,0,0,0,0
1954-12,106,0,3,0,0,1,0,0
1955-01,132,0,1,0,0,1,0,0
1955-02,569,0,8,0,0,51,0,0
1955-03,234,0,4,0,0,2,0,0
1955-04,291,0,1,0,0,0,0,0
1955-05,264,0,2,0,0,1,0,0
1955-06,2464,5,2817,0,2,121,2,0
1955-07,297,0,9,0,0,1,0,0
1955-08,185,0,3,0,0,0,0,0
1955-09,188,0,3,0,0,2,0,0
1955-10,113,0,1,0,0,0,0,0
1955-11,89,0,2,0,0,1,0,0
1955-12,98,0,1,0,0,1,0,0
