OBJECTNUMMER;Code;Locatie;Type_meetpunt;Type_meting;Meting_op_wettelijke_toetsafst;Afstand_tot_gevel_m;jaar_2020;jaar_2019;jaar_2018;jaar_2017;jaar_2016;jaar_2015;jaar_2014;jaar_2013;jaar_2012;jaar_2011;jaar_2010;LNG;LAT
47;TAS373;Tasmanstraat 373;Straat;Palmes;Ja;0;0;27;29,2;42,6;41,3;40,5;40,5;37,4;45,6;44,6;44,5;4,879405;52,390993
48;BLM93;Bloemgracht 93;Achtergrond;Palmes;;0;0;26,7;30,8;31,1;30,2;29,2;31,8;31,1;33;32,4;33,8;4,879505;52,374293
49;TAS45;Tasmanstraat 45;Straat;Palmes;Ja;0;0;28,2;30,9;35,3;39,3;36,8;37,5;36,8;41,5;41,6;39,4;4,882105;52,390993
50;LUYK38;Jan Luijkenstraat 38;Achtergrond;Palmes;;0;0;22,9;23,9;28,2;28;28,2;28,4;29;30,7;31,1;32,1;4,882305;52,360093
51;NOVA116;Nova Zemblastraat 116;Achtergrond;Palmes;;0;0;23,4;25,2;26,6;26,4;26,3;28,3;26,8;29;29,3;31,8;4,882805;52,390393
52;STDk30;Stadhouderskade 30;Straat;Palmes;Ja;0;0;40,5;42,2;51,8;48,8;49,4;49,4;48,8;53,2;54,6;51,5;4,883405;52,361993
53;VH42;van Heemskerckstraat 42;Achtergrond;Palmes;;0;0;25,9;26,2;28;28,9;26,7;26,4;26,6;30,8;29,4;31,5;4,886205;52,389193
54;STDK55;Stadhouderskade 55;Straat;Palmes;Nee;5,1;0;44,7;47,6;54,5;54,4;53,8;54,8;52,9;58,5;59,1;53,9;4,888505;52,358993
55;STDK58;Stadhouderskade 58;Straat;Palmes;Ja;0;0;43,6;45,6;53,4;51,2;0;0;0;0;0;0;4,888605;52,358593
56;ZUID317;Zuideinde 317 (A10-Noord);Snelweg;Palmes;Nee;5,8;0;30,7;32,5;35,4;34,6;34,1;35,1;33,8;36,2;35,4;36,6;4,888805;52,423993
57;HOUT43;Haarlemmerhouttuinen 43;Straat;Palmes;Ja;0;0;30,8;35,3;0;0;0;0;0;0;0;0;4,891105;52,381293
58;WDK;Westerdokskade;Achtergrond;Palmes;;0;0;32,8;34,8;33,7;33;30;31,7;31,7;33,7;33,4;33,4;4,891305;52,382593
59;EUP61;Europaplein 61;Straat;Palmes;Nee;13,3;0;36,5;41;44,2;42,2;40,6;41,7;44,7;50;51,3;45,7;4,892305;52,342993
60;WDD103;Westerdoksdijk 103;Straat;Palmes;Ja;0;0;33,2;33,9;34,7;0;0;0;0;0;0;0;4,892705;52,384193
61;TK10;Teerketelsteeg 10;Achtergrond;Palmes;;0;0;26,5;29,3;30,6;32;30,7;32,2;32,4;33,6;0;0;4,892905;52,376993
62;CCL137;Churchilllaan 137;Straat;Palmes;Nee;5,2;0;29,7;29,5;34,2;32,9;31,4;32,1;30,5;36;35,5;36;4,893105;52,346993
63;SPUI29;Spuistraat 29;Straat;Palmes;Nee;4,3;0;32,9;37,2;39,6;41,1;38,1;41,3;42,5;42,8;43,4;48,2;4,893105;52,376993
64;DIN94;Dintelstraat 94;Achtergrond;Palmes;;0;0;23,7;24,1;26,6;26,1;25,8;27,1;27;29,9;29,9;30,8;4,893505;52,343593
